Winner,title_bout,weight_class,gender,no_of_rounds,B_current_streak,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_decision,B_win_finish,B_Stance,B_Height_cms,B_Reach_cms,R_current_streak,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_decision,R_win_finish,R_Stance,R_Height_cms,R_Reach_cms,R_age,B_age,streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,decision_dif,finish_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,B_match_weightclass_rank,R_match_weightclass_rank,better_rank,rank_diff,B_is_35plus,R_is_35plus,year
Red,False,Bantamweight,MALE,3,-1,2.21,0.34,0.0,3.69,0.5,1,1,0,0,0,Orthodox,177.8,187.96,-1,1.28,0.44,1.8,3.57,0.33,1,7,0,1,1,Switch,175.26,170.18,18,33,0,-2,0,-6,0,-1,-1,2.5400000000000205,17.78,15,0.93,-1.8,0.1200000000000001,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Lightweight,MALE,3,1,2.98,0.42,0.4,2.93,0.37,6,24,0,3,3,Orthodox,177.8,180.34,1,5.26,0.39,0.3,0.28,0.33,1,9,0,2,0,Switch,185.42,195.58,24,33,0,4,5,15,0,1,3,-7.620000000000003,-15.240000000000007,9,-2.28,0.1,2.6500000000000004,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Featherweight,MALE,3,1,3.46,0.44,0.7,1.15,0.2,4,18,0,1,1,Switch,180.34,180.34,1,5.51,0.38,0.0,0.0,0.0,0,1,0,0,1,Orthodox,185.42,193.04,26,32,0,1,4,17,0,1,0,-5.0800000000000125,-12.699999999999989,6,-2.05,0.7,1.15,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Women's Strawweight,FEMALE,3,1,2.66,0.49,0.0,0.58,0.6,3,15,0,3,0,Orthodox,160.02,160.02,2,4.03,0.5,1.3,3.82,0.47,3,22,0,4,1,Orthodox,157.48,154.94,30,30,-1,-2,0,-7,0,-1,-1,2.5400000000000205,5.0800000000000125,0,-1.37,-1.3,-3.24,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Middleweight,MALE,3,2,2.93,0.43,1.4,0.84,0.25,2,10,0,1,1,Orthodox,193.04,193.04,3,4.72,0.53,0.0,0.47,0.5,2,13,0,0,3,Southpaw,182.88,190.5,32,29,-1,-1,0,-3,0,1,-2,10.159999999999997,2.539999999999992,-3,-1.7899999999999996,1.4,0.37,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Women's Flyweight,FEMALE,3,2,3.54,0.4,0.0,2.17,0.37,1,15,0,4,0,Orthodox,170.18,172.72,5,4.11,0.53,0.3,2.33,0.46,0,15,0,5,0,Orthodox,165.1,165.1,29,34,-3,-1,1,0,0,-1,0,5.0800000000000125,7.620000000000003,5,-0.5700000000000003,-0.3,-0.1600000000000001,20.0,14.0,Red,6.0,0.0,0.0,2023
Blue,False,Lightweight,MALE,3,-1,11.03,0.54,0.0,0.0,0.0,1,1,0,0,0,Orthodox,182.88,182.88,-1,4.04,0.39,0.0,0.0,0.0,1,1,0,0,0,Orthodox,180.34,185.42,36,28,0,0,0,0,0,0,0,2.539999999999992,-2.5400000000000205,-8,6.989999999999999,0.0,0.0,20.0,20.0,neither,0.0,0.0,1.0,2023
Red,False,Women's Strawweight,FEMALE,3,-1,1.1,0.42,0.0,1.83,0.3,1,2,0,0,0,Southpaw,152.4,162.56,2,3.73,0.52,0.0,2.67,0.72,0,6,0,2,0,Orthodox,160.02,152.4,27,30,-3,-2,1,-4,0,-2,0,-7.620000000000003,10.159999999999997,3,-2.63,0.0,-0.8399999999999999,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,True,Middleweight,MALE,5,2,5.82,0.41,0.2,0.92,0.64,5,56,0,9,5,Orthodox,185.42,193.04,1,3.93,0.48,0.1,0.05,0.14,2,55,10,8,5,Switch,193.04,203.2,34,32,1,1,3,1,-10,1,0,-7.619999999999976,-10.159999999999997,-2,1.89,0.1,0.87,5.0,0.0,Red,5.0,0.0,0.0,2023
Blue,False,Heavyweight,MALE,3,2,5.1,0.57,0.2,0.49,0.63,4,39,0,4,6,Orthodox,200.66,203.2,-2,3.98,0.49,0.0,0.0,0.0,5,23,0,1,7,Southpaw,187.96,190.5,30,34,4,2,-1,16,0,3,-1,12.699999999999989,12.699999999999989,4,1.1199999999999997,0.2,0.49,7.0,6.0,Red,1.0,0.0,0.0,2023
Red,False,Flyweight,MALE,3,0,6.6,0.32,0.0,0.0,0.0,0,0,0,0,0,Orthodox,170.18,177.8,3,5.12,0.54,0.4,0.65,0.37,2,11,0,1,2,Southpaw,165.1,172.72,29,22,-3,-3,-2,-11,0,-1,-2,5.0800000000000125,5.0800000000000125,-7,1.4799999999999995,-0.4,-0.65,20.0,10.0,Red,10.0,0.0,0.0,2023
Red,False,Heavyweight,MALE,3,1,4.48,0.47,0.0,0.0,0.0,1,3,0,0,1,Orthodox,198.12,203.2,2,5.13,0.55,0.0,0.0,0.0,3,11,0,0,3,Southpaw,182.88,187.96,29,35,-1,-2,-2,-8,0,0,-2,15.240000000000007,15.23999999999998,6,-0.6499999999999995,0.0,0.0,20.0,20.0,neither,0.0,1.0,0.0,2023
Red,False,Light Heavyweight,MALE,3,-2,1.72,0.53,0.0,6.55,0.51,2,7,0,1,0,Orthodox,193.04,198.12,-1,3.11,0.61,0.9,0.94,0.36,4,15,0,0,5,Orthodox,190.5,200.66,31,27,-1,-4,-2,-8,0,1,-5,2.539999999999992,-2.539999999999992,-4,-1.39,-0.9,5.609999999999999,20.0,20.0,neither,0.0,0.0,0.0,2023
